,Aeshna cf mixta,Alona sp.,Ancylus fluviatilis,Animal detritus,Atherix ibis,Bacteria,Barbus haasi,Bithynia tentaculata,Brachyptera cf arcuata,Caenis luctuosa,Centroptilum luteolum,cf Serratella ignita,Chimarra cf marginata,Chironomus sp.,Chydorus sp.,Corynoneura sp.,Cricotopus sp.,Detritus,Diatoms,Filamentous algae,Fungi,Gobio lozanoi,Habrophlebia fusca,Hydracarina,Hydroptila sp.,Isoperla cf grammatica,Luciobarbus graellsii,Lumbriculidae,Naididae,Natrix maura,Nilotanypus sp.,Non-filamentous algae,Onychogomphus cf uncatus,Orthocladius sp.,Oulimnius rivularis,Oxygastra curtisii,Parachondrostoma miegii,Paracricotopus sp.,Parametriocnemus sp.,Paratanytarsus sp.,Paratrichocladius sp.,Pelophylax perezi,Potamopyrgus antipodarum,Prosimulium sp.,Psychodidae,Simulium erytrocephalum,Stenelmis consobrina,Synorthocladius sp.,Tinodes cf maculicornis,Tipulidae
Natrix maura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nilotanypus sp.,0,0.25,0.031,0,0,0,0.002,0.217,0.333,0.005,0.25,0.004,0.2,0.073,0.25,0.015,0.015,0,0,0,0,0,0,0,0.33,0.002,0.018,0,0.018,0,0,0,0,0.015,0,0,0.001,0.015,0.015,0.021,0.015,0,0.15,0.03,0.1,0.03,0.8,0.015,0.25,0.097
Non-filamentous algae,0,0,0.103,0,0.25,0,0.001,0,0,0.02,0,0.032,0,0.054,0,0.073,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0.5,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.006
Onychogomphus cf uncatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladius sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oulimnius rivularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygastra curtisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parachondrostoma miegii,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracricotopus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parametriocnemus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratanytarsus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.25,0,0.308,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratrichocladius sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelophylax perezi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potamopyrgus antipodarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosimulium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychodidae,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.125,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium erytrocephalum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenelmis consobrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synorthocladius sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinodes cf maculicornis,0,0,0.071,0,0,0,0.164,0.319,0.048,0.15,0,0.014,0,0,0,0.129,0.129,0,0,0,0,0,0.25,0,0,0.002,0.197,0.005,0.091,0,0,0,0,0.129,0.333,0,0.011,0.129,0.129,0.156,0.129,0,0,0.016,0.4,0.016,0,0.129,0.2,0.581
Tipulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
