,Aeshna cf mixta,Ancylus fluviatilis,Anguilla anguilla,Animal detritus,Antocha sp.,Apsectrotanypus sp.,Barbus haasi,Bithynia tentaculata,Caenis luctuosa,Centroptilum luteolum,Chaetocladius sp.,Chironomus sp.,Parachondrostoma miegii,Cricotopus sp.,Detritus,Diatoms,Eukiefferiella sp.,Filamentous algae,Fungi,Gobio lozanoi,Habrophlebia fusca,Hydracarina,Hydropsyche exocellata,Leuctra cf inermis,Limnius volckmari,Luciobarbus graellsii,Nilotanypus sp.,Non-filamentous algae,Onychogomphus cf uncatus,Orthocladius sp.,Orectochilus villosus,Oulimnius rivularis (Adult),Palpomyia sp.,Parametriocnemus sp.,Paratrichocladius sp.,Philopotamus montanus,Plectrocnemia cf laetabilis,Radix sp.,Salmo trutta,Simulium erytrocephalum,Tanytarsus sp.,Vegetal material
Oulimnius rivularis (Adult),0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Palpomyia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parametriocnemus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paratrichocladius sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
Philopotamus montanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectrocnemia cf laetabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radix sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium erytrocephalum,0.419,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanytarsus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetal material,0,0.103,0.003,0,0.011,0,0.079,0.319,0.288,0,0.329,0.329,0.16,0.329,0,0,0.329,0,0,0,0.25,0,0,0.25,0,0.186,0,0,0,0.329,0.329,0.333,0,0.329,0.329,0.17,0,0.2,0,0.016,0.156,0
