"Achnanthes levanderi","Achnanthes minutissima","Adicella reducta","Amphinemura sulcicollis","Bacillaria paxillifer","Baetis muticus","Baetis rhodani","Brachyptera risi","Brachysira vitrea","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemalis","Diploneis ovalis","Drusus annulatus","Electrogena lateralis","Elmis aenea","Encyonema minutum","Eunotia pectinalis","FPOM","Fragilaria arcus","Fragilaria capucina","Fragilaria construens","Fragilaria ulna","Frustulia rhomboides","Glossosoma conformis","Gomphonema olivaceum","Gomphonema truncatum","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Meridion circulare constrictum","Navicula angusta","Navicula lanceolata","Nemoura erratica","Oligochaeta","Pisidium","Plectrocnemia conspersa","Potamophylax latipennis","Rhithrogena semicolorata","Sericostoma personatum","Serratella ignita","Silo pallipes","Simuliidae","Siphonoperla torrentium","Tanypodinae","Tipulidae"
0,0,0.196765688160014,0.211644681173835,0,0.175489307920069,0.175489307920069,0.211644681173835,0,0.204741783760415,0,0,0,0,0.211644681173835,0.211644681173835,0.211644681173835,0,0,0,0,0,0,0,0,0.211644681173835,0,0,0.211644681173835,0,0.211644681173835,0,0,0,0.211644681173835,0.059160932055435,0.211644681173835,0,0.211644681173835,0.211644681173835,0.21129082357378,0,0.211644681173835,0.21129082357378,0,0,0.204387926160361
0,0,0.04439430191691,0.04439430191691,0,0.04439430191691,0.04439430191691,0.04439430191691,0,0.04439430191691,0,0,0,0,0.04439430191691,0.04439430191691,0.04439430191691,0,0,0,0,0,0,0,0,0.04439430191691,0,0,0.04439430191691,0,0.04439430191691,0,0,0,0.04439430191691,0,0.04439430191691,0,0.04439430191691,0.04439430191691,0.04439430191691,0,0.04439430191691,0.04439430191691,0,0,0.04439430191691
0,0,0.000690624,0.000690624,0,0.000690624,0.000690624,0.000690624,0,0.000690624,0,0,0,0,0.000690624,0.000690624,0.000690624,0,0,0,0,0,0,0,0,0.000690624,0,0,0.000690624,0,0.000690624,0,0,0,0.000690624,0,0.000690624,0,0.000690624,0.000690624,0.000690624,0,0.000690624,0.000690624,0,0,0.000690624
0,0,0.00149327104,0.00149327104,0,0.00149327104,0.00149327104,0.00149327104,0,0.00149327104,0,0,0,0,0.00149327104,0.00149327104,0.00149327104,0,0,0,0,0,0,0,0,0.00149327104,0,0,0.00149327104,0,0.00149327104,0,0,0,0.00149327104,0,0.00149327104,0,0.00149327104,0.00149327104,0.00149327104,0,0.00149327104,0.00149327104,0,0,0.00149327104
0,0,0.228129648,0.228129648,0,0.228129648,0.228129648,0.228129648,0,0.228129648,0,0,0,0,0.228129648,0.228129648,0.228129648,0,0,0,0,0,0,0,0,0.228129648,0,0,0.228129648,0,0.228129648,0,0,0,0.228129648,0,0.228129648,0,0.228129648,0.228129648,0.228129648,0,0.228129648,0.228129648,0,0,0.228129648
0,0,0,0.00128749296,0,0,0,0.00128749296,0,0,0,0,0,0,0.00128749296,0.00128749296,0.00128749296,0,0,0,0,0,0,0,0,0.00128749296,0,0,0.00128749296,0,0.00128749296,0,0,0,0.00128749296,0.00128749296,0.00128749296,0,0.00128749296,0.00128749296,0.00128749296,0,0.00128749296,0.00128749296,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000145201066657,0.000145201066657,0,0.000145201066657,0.000145201066657,0.000145201066657,0,0.000145201066657,0,0,0,0,0.000145201066657,0.000145201066657,0.000145201066657,0,0,0,0,0,0,0,0,0.000145201066657,0,0,0.000145201066657,0,0.000145201066657,0,0,0,0.000145201066657,0.000145201066657,0.000145201066657,0,0.000145201066657,0.000145201066657,0.000145201066657,0,0.000145201066657,0.000145201066657,0,0,0.000145201066657
0,0,0.0001967575466818,0.0001967575466818,0,0.0001967575466818,0.0001967575466818,0.0001967575466818,0,0.0001967575466818,0,0,0,0,0.0001967575466818,0.0001967575466818,0.0001967575466818,0,0,0,0,0,0,0,0,0.0001967575466818,0,0,0.0001967575466818,0,0.0001967575466818,0,0,0,0.0001967575466818,0.0001967575466818,0.0001967575466818,0,0.0001967575466818,0.0001967575466818,0.0001967575466818,0,0.0001967575466818,0.0001967575466818,0,0,0.0001967575466818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02436536648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02436536648,0,0
0,0,0.016294233654,0,0,0,0,0,0,0,0.016294233654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016294233654,0.016294233654,0,0,0,0,0,0,0,0.016294233654,0,0,0,0,0,0,0.016294233654,0.016294233654,0
0,0,0.01270371754436,0.01270371754436,0,0,0,0.01270371754436,0,0.01270371754436,0,0,0,0,0.01270371754436,0.01270371754436,0.01270371754436,0,0,0,0,0,0,0,0,0.01270371754436,0,0,0.01270371754436,0,0.01270371754436,0,0,0,0.01270371754436,0,0.01270371754436,0,0.01270371754436,0.01270371754436,0.01270371754436,0,0.01270371754436,0.01270371754436,0,0,0.01270371754436
0,0,0.03526636106989,0.03526636106989,0,0.03526636106989,0.03526636106989,0.03526636106989,0,0.03526636106989,0,0,0,0,0.03526636106989,0.03526636106989,0.03526636106989,0,0,0,0,0,0,0,0,0.03526636106989,0,0,0.03526636106989,0,0.03526636106989,0,0,0,0.03526636106989,0.03526636106989,0.03526636106989,0,0.03526636106989,0.03526636106989,0.03526636106989,0,0.03526636106989,0.03526636106989,0,0,0.03526636106989
0,0,0.0406624512,0.0406624512,0,0.0406624512,0.0406624512,0.0406624512,0,0.0406624512,0,0,0,0,0.0406624512,0.0406624512,0.0406624512,0,0,0,0,0,0,0,0,0.0406624512,0,0,0.0406624512,0,0.0406624512,0,0,0,0.0406624512,0.0406624512,0.0406624512,0,0.0406624512,0.0406624512,0.0406624512,0,0.0406624512,0.0406624512,0,0,0.0406624512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465144741,0,0,0,0,0,0,0,0.000465144741,0,0,0,0,0,0,0.000465144741,0,0
0,0,0,0,0,0,0,0,0,0,0.002457075924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002457075924,0,0,0,0,0,0,0.002457075924,0.002457075924,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095144379,0,0,0,0,0,0,0,0.00095144379,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002394545193,0,0,0,0,0,0,0,0.002394545193,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044656397589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000485357734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00064794892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064794892,0.00064794892,0,0,0,0,0,0,0,0.00064794892,0,0,0,0,0,0,0.00064794892,0.00064794892,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004225684384,0,0,0,0,0,0,0,0.004225684384,0,0,0,0,0,0,0.004225684384,0.004225684384,0
0,0,0.000279656624,0,0,0,0,0,0,0,0.000279656624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279656624,0.000279656624,0,0,0,0,0,0,0,0.000279656624,0.000279656624,0,0.000279656624,0.000279656624,0,0,0.000279656624,0.000279656624,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756860818,0,0,0,0,0,0,0,0.00756860818,0
