"Achnanthes lanceolata","Achnanthes levanderi","Achnanthes minutissima","Achnanthes oblongella","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Chaetopteryx villosa","Chironomidae","Chloroperla tripunctata","CPOM","Cymbella aspera","Diatoma hyemale quadratum","Electrogena lateralis","Encyonema minutum","Esolus parallelepipedus","Eunotia curvata","Eunotia exigua","Eunotia rhomboidea","FPOM","Fragilaria arcus","Fragilaria capucina","Fragilaria ulna","Frustulia rhomboides","Gomphonema acuminatum","Gomphonema olivaceum","Gomphonema parvulum","Hydraena","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Navicula minima","Nitzschia","Oligochaeta","Oulimnius","Pisidium","Plectrocnemia conspersa","Plectrocnemia geniculata","Rhithrogena semicolorata","Rhyacophila dorsalis","Salmo trutta","Serratella ignita","Simuliidae","Siphonoperla torrentium","Synedra acus","Tabellaria flocculosa","Tipulidae"
0,0,0,0,0.110709214437054,0.0188946569607234,0.0188946569607234,0.110709214437054,0.0618042441545594,0,0,0,0,0.110709214437054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110709214437054,1,0.110709214437054,0.110709214437054,0,0,0.0187452070424145,0.110709214437054,0.0618767461079035,1,1,0.110709214437054,1,0,0,0.0474450079728035,0,0,0,0.0473725060194594
0,0,0,0,4.29943466756e-05,4.29943466756e-05,4.29943466756e-05,4.29943466756e-05,4.29943466756e-05,0,0,0,0,4.29943466756e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29943466756e-05,0,4.29943466756e-05,4.29943466756e-05,0,0,4.29943466756e-05,4.29943466756e-05,4.29943466756e-05,0,0,4.29943466756e-05,0,0,0,4.29943466756e-05,0,0,0,4.29943466756e-05
0,0,0,0,0.003021015573212,0.003021015573212,0.003021015573212,0.003021015573212,0.003021015573212,0,0,0,0,0.003021015573212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003021015573212,0,0.003021015573212,0.003021015573212,0,0,0,0.003021015573212,0.003021015573212,0,0,0.003021015573212,0,0,0,0.003021015573212,0,0,0,0.003021015573212
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016884884299,0,0,0,0,0,0,0,0.016884884299,0.016884884299,0,0.016884884299,0.016884884299,0,0,0,0,0,0
0,0,0,0,1.68179144e-05,0,0,1.68179144e-05,1.68179144e-05,0,0,0,0,1.68179144e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68179144e-05,0,1.68179144e-05,1.68179144e-05,0,0,1.68179144e-05,1.68179144e-05,1.68179144e-05,0,0,1.68179144e-05,0,0,0,1.68179144e-05,0,0,0,1.68179144e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1229035e-05,0,0,0,0,0,0
0,0,0,0,0.0032720352,0,0,0.0032720352,0.0032720352,0,0,0,0,0.0032720352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032720352,0,0.0032720352,0.0032720352,0,0,0.0032720352,0.0032720352,0.0032720352,0,0,0.0032720352,0,0,0,0,0,0,0,0
0,0,0,0,0.0209711530702,0,0,0.0209711530702,0.0209711530702,0,0,0,0,0.0209711530702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209711530702,0,0.0209711530702,0.0209711530702,0,0,0.0209711530702,0.0209711530702,0.0209711530702,0,0,0.0209711530702,0,0,0,0,0,0,0,0
0,0,0,0,0.004620288,0,0,0.004620288,0.004620288,0,0,0,0,0.004620288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004620288,0,0.004620288,0.004620288,0,0,0.004620288,0.004620288,0.004620288,0,0,0.004620288,0,0,0,0,0,0,0,0
0,0,0,0,0.110709214437054,0.0188946569607234,0.0188946569607234,0.110709214437054,0.0618042441545594,0,0,0,0,0.110709214437054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110709214437054,0,0.110709214437054,0.110709214437054,0,0,0.0187452070424145,0.110709214437054,0.0618767461079035,0,0,0.110709214437054,1,0,0,0.0474450079728035,0,0,0,0.0473725060194594
0,0,0,0,0.003998381333646,0.003998381333646,0.003998381333646,0.003998381333646,0.003998381333646,0,0,0,0,0.003998381333646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003998381333646,0,0.003998381333646,0.003998381333646,0,0,0,0.003998381333646,0.003998381333646,0,0,0.003998381333646,0,0,0,0.003998381333646,0,0,0,0.003998381333646
0,0,0,0,0.01593961722412,0.01593961722412,0.01593961722412,0.01593961722412,0.01593961722412,0,0,0,0,0.01593961722412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01593961722412,0,0.01593961722412,0.01593961722412,0,0,0,0.01593961722412,0.01593961722412,0,0,0.01593961722412,0,0,0,0.01593961722412,0,0,0,0.01593961722412
0,0,0,0,0.012768032,0.012768032,0.012768032,0.012768032,0.012768032,0,0,0,0,0.012768032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012768032,0,0.012768032,0.012768032,0,0,0,0.012768032,0.012768032,0,0,0.012768032,0,0,0,0.012768032,0,0,0,0.012768032
0,0,0,0,0.0001450039066883,0,0,0.0001450039066883,0,0,0,0,0,0.0001450039066883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001450039066883,0,0.0001450039066883,0.0001450039066883,0,0,0.0001450039066883,0.0001450039066883,0.0001450039066883,0,0,0.0001450039066883,0,0,0,0.0001450039066883,0,0,0,0
0,0,0,0,0.00018958976,0.00018958976,0.00018958976,0.00018958976,0.00018958976,0,0,0,0,0.00018958976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018958976,0,0.00018958976,0.00018958976,0,0,0.00018958976,0.00018958976,0.00018958976,0,0,0.00018958976,0,0,0,0.00018958976,0,0,0,0.00018958976
0,0,0,0,0.000901229697069,0.000901229697069,0.000901229697069,0.000901229697069,0.000901229697069,0,0,0,0,0.000901229697069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901229697069,0,0.000901229697069,0.000901229697069,0,0,0.000901229697069,0.000901229697069,0.000901229697069,0,0,0.000901229697069,0,0,0,0.000901229697069,0,0,0,0.000901229697069
0,0,0,0,0.000539465466631,0.000539465466631,0.000539465466631,0.000539465466631,0.000539465466631,0,0,0,0,0.000539465466631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000539465466631,0,0.000539465466631,0.000539465466631,0,0,0.000539465466631,0.000539465466631,0.000539465466631,0,0,0.000539465466631,0,0,0,0.000539465466631,0,0,0,0.000539465466631
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431771306,0,0,0,0,0,0,0,0,0,0,0.00431771306,0.00431771306,0,0,0.00431771306,0,0,0
0,0,0,0,0,0,0,0,0,0.002201551037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002201551037,0,0,0,0,0,0,0,0.002201551037,0.002201551037,0,0.002201551037,0.002201551037,0,0,0.002201551037,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001209595532,0,0,0,0,0,0
0,0,0,0,0.000372464573423,0.000372464573423,0.000372464573423,0.000372464573423,0.000372464573423,0,0,0,0,0.000372464573423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372464573423,0,0.000372464573423,0.000372464573423,0,0,0.000372464573423,0.000372464573423,0.000372464573423,0,0,0.000372464573423,0,0,0,0.000372464573423,0,0,0,0.000372464573423
0,0,0,0,1.65239466701e-05,1.65239466701e-05,1.65239466701e-05,1.65239466701e-05,1.65239466701e-05,0,0,0,0,1.65239466701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65239466701e-05,0,1.65239466701e-05,1.65239466701e-05,0,0,1.65239466701e-05,1.65239466701e-05,1.65239466701e-05,0,0,1.65239466701e-05,0,0,0,1.65239466701e-05,0,0,0,1.65239466701e-05
0,0,0,0,0,0,0,0,0,0.000559808538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000559808538,0.000559808538,0,0.000559808538,0.000559808538,0,0,0.000559808538,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8000952e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0640361e-05,2.0640361e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1318056e-05,3.1318056e-05,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0926939e-05,6.0926939e-05,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00720148766,0,0,0,0,0,0,0,0,0,0,0,0.00720148766,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003794661063,0,0,0,0,0,0,0,0.003794661063,0.003794661063,0,0.003794661063,0.003794661063,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552245333328,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6415764e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100683333,0,0,0,0,0,0,0,0.00100683333,0.00100683333,0,0.00100683333,0.00100683333,0,0,0.00100683333,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009161769101,0,0,0,0,0,0,0,0.009161769101,0.009161769101,0,0.009161769101,0,0,0,0.009161769101,0,0,0
0,0,0,0,0.050536032,0,0,0.050536032,0.050536032,0,0,0,0,0.050536032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050536032,0,0.050536032,0.050536032,0,0,0,0.050536032,0.050536032,0,0,0.050536032,0,0,0,0.050536032,0,0,0,0.050536032
0,0,0,0,0.0976649366583,0,0,0.0976649366583,0,0,0,0,0,0.0976649366583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976649366583,0,0.0976649366583,0.0976649366583,0,0,0,0.0976649366583,0,0,0,0.0976649366583,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558280244,0.000558280244,0,0,0.000558280244,0,0,0,0,0,0
