"Achnanthes","Amphora","Bacteria","Cocconeis","CPOM","Cricotopus sp. A","Cyclotella","Cymbella","Diatoma","Eukiefferiella minor","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Hebridae indet.","Limnophora riparia","Macrophytes","Melosira","Meridion","Micropsectra atrofasciata","Naucoridae indet.","Navicula","Nitzschia","Oligochaeta indet.","Orthocladius sp.","Radix balthica","Rhoicosphenia","Rhopalodia","Salmo trutta","Simulium aureum","Simulium vittatum","Synedra","Terrestrial"
0,0,0,0,0,0.6772178445506,0,0,0,0.6772178445506,0,0,0,0,0,0,0,0.571434461502328,0,0,0,0.6772178445506,0,0,0,0.679543500129704,0.6772178445506,0.676468923350725,0,0,0,0.679543500129704,0.679543500129704,0,0
0,0,0,0,0,0.54177427564048,0,0,0,0.54177427564048,0,0,0,0,0,0,0,0.457147569201862,0,0,0,0.54177427564048,0,0,0,0.543634800103763,0.54177427564048,0.54117513868058,0,0,0,0.543634800103763,0.543634800103763,0,0
0,0,0,0,0,0.00863377878028168,0,0,0,0.00863377878028168,0,0,0,0,0,0,0,0,0,0,0,0.00863377878028168,0,0,0,0.00863377878028168,0.00863377878028168,0.00863377878028168,0,0,0,0.00863377878028168,0.00863377878028168,0,0
0,0,0,0,0,0.54177427564048,0,0,0,0.54177427564048,0,0,0,0,0,0,0,0.457147569201862,0,0,0,0.54177427564048,0,0,0,0.543634800103763,0.54177427564048,0.54117513868058,0,0,0,0.543634800103763,0.543634800103763,0,0
0,0,0,0,0,0.00126674420806272,0,0,0,0.00126674420806272,0,0,0,0,0,0,0,0,0,0,0,0.00126674420806272,0,0,0,0.00126674420806272,0.00126674420806272,0.00126674420806272,0,0,0,0.00126674420806272,0.00126674420806272,0,0
0,0,0,0,0,0.6772178445506,0,0,0,0.6772178445506,0,0,0,0,0,0,0,0.571434461502328,0,0,0,0.6772178445506,0,0,0,0.679543500129704,0.6772178445506,0.676468923350725,0,0,0,0.679543500129704,0.679543500129704,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04829509848,0,0,0,0
0,0,0,0,0,0.6772178445506,0,0,0,0.6772178445506,0,0,0,0,0,0,0,0.571434461502328,0,0,0,0.6772178445506,0,0,0,0.679543500129704,0.6772178445506,0.676468923350725,0,0,0,0.679543500129704,0.679543500129704,0,0
0,0,0,0,0,0.00011208481608792,0,0,0,0.00011208481608792,0,0,0,0,0,0,0,0,0,0,0,0.00011208481608792,0,0,0,0.00011208481608792,0.00011208481608792,0.00011208481608792,0,0,0,0.00011208481608792,0.00011208481608792,0,0
0,0,0,0,0,0.0004071700226968,0,0,0,0.0004071700226968,0,0,0,0,0,0,0,0,0,0,0,0.0004071700226968,0,0,0,0.0004071700226968,0.0004071700226968,0.0004071700226968,0,0,0,0.0004071700226968,0.0004071700226968,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009100010496,0,0,0,0,0,0,0,0,0,0,0,0,0.009100010496,0.009100010496,0.009100010496,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00273014745793596,0,0,0,0.00273014745793596,0,0,0,0,0,0,0,0,0,0,0,0.00273014745793596,0,0,0,0.00273014745793596,0.00273014745793596,0.00273014745793596,0,0,0,0.00273014745793596,0.00273014745793596,0,0
0,0,0,0,0,5.333961283455e-05,0,0,0,5.333961283455e-05,0,0,0,0,0,0,0,0,0,0,0,5.333961283455e-05,0,0,0,5.333961283455e-05,5.333961283455e-05,5.333961283455e-05,0,0,0,5.333961283455e-05,5.333961283455e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521675247744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011257755264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011257755264,0.011257755264,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13397529392,0,0,0,0
0,0,0,0,0,0.0096027861002,0,0,0,0.0096027861002,0,0,0,0,0,0,0,0,0,0,0,0.0096027861002,0,0,0,0.0096027861002,0.0096027861002,0.0096027861002,0,0,0,0.0096027861002,0.0096027861002,0,0
0,0,0,0,0,0.031854433992576,0,0,0,0.031854433992576,0,0,0,0,0,0,0,0,0,0,0,0.031854433992576,0,0,0,0.031854433992576,0.031854433992576,0.031854433992576,0,0,0,0.031854433992576,0.031854433992576,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.064108919312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83190555568,0,0,0,0,0,0,0,0,0,0,0,0,1.83190555568,0,0,0,0
0,0,0,0,0,0.5697193723392,0,0,0,0.5697193723392,0,0,0,0,0,0,0,0.5697193723392,0,0,0,0.5697193723392,0,0,0,0.5697193723392,0.5697193723392,0.5697193723392,0,0,0,0.5697193723392,0.5697193723392,0,0
0,0,0,0,0,0.54177427564048,0,0,0,0.54177427564048,0,0,0,0,0,0,1,0.457147569201862,0,0,0,0.54177427564048,1,0,0,0.543634800103763,0.54177427564048,0.54117513868058,0,0,1,0.543634800103763,0.543634800103763,0,0
