"Achnanthes","Amphora","Bacteria","Clinocera stagnalis","Cocconeis","CPOM","Cricotopus sp. B","Cymbella","Diatoma","Dicranota exclusa","Diploneis","Epithemia","Eukiefferiella minor","Eunotia","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Limnophora riparia","Melosira","Meridion","Mesoveliidae indet. sp. A","Micropsectra atrofasciata","Navicula","Nitzschia","Notonectidae indet.","Oligochaeta indet.","Pinnularia","Potamophylax cingulatus","Radix balthica","Rheocricotopus effesus","Rhoicosphenia","Rhopalodia","Scatella sp.","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0,0,0,0.0347526729044,0,0,0.0347526729044,0,0,0.0347526729044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347526729044,0,0.0347526729044,0.0347526729044,0.0347526729044,0,0,0,0.0347526729044,0.0347526729044,0,0,0,0.0347526729044
0,0,0,0,0,0,0.117718594018186,0,0,0.117718594018186,0,0,0.117718594018186,0,0,0,0,0,0,0,0,0,0,0,0.117718594018186,0,0,0,0.117718594018186,0,0.117718594018186,0.117718594018186,0.117718594018186,0,0,0,0.117718594018186,0.117718594018186,0,0,0,0.117718594018186
0,0,0,0.216756304704,0,0,0,0,0,0.216756304704,0,0,0,0,0,0,0,0,0,0,0.216756304704,0,0,0,0,0,0,0,0,0,0.216756304704,0,0,0,0,0,0.216756304704,0.216756304704,0,0,0,0
0,0,0,0,0,0,0.000482361293346,0,0,0.000482361293346,0,0,0.000482361293346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482361293346,0,0,0.000482361293346,0.000482361293346,0,0,0,0.000482361293346,0.000482361293346,0,0,0,0.000482361293346
0,0,0,0,0,0,1.59358462908402,0,0,1.59358462908402,0,0,1.59327690048573,0,0,0,0,0,0,0,0.70056053251308,0,0,0,1.55834959488627,0,0,0,1.59358462908402,0,1.58396720445908,1.59358462908402,1.59358462908402,0,0,0,1.59358462908402,1.59358462908402,0.663234326764331,0,0,1.59327690048573
0,0,0,0,0,0,0.956150777450411,0,0,0.956150777450411,0,0,0.955966140291436,0,0,0,0,0,0,0,0.420336319507848,0,0,0,0.935009756931763,0,0,0,0.956150777450411,0,0.95038032267545,0.956150777450411,0.956150777450411,0,0,1,0.956150777450411,0.956150777450411,0.397940596058599,0,0,0.955966140291436
0,0,0,0,0,0,0.010021262401332,0,0,0.010021262401332,0,0,0.010021262401332,0,0,0,0,0,0,0,0,0,0,0,0.010021262401332,0,0,0,0.010021262401332,0,0.010021262401332,0.010021262401332,0.010021262401332,0,0,0,0.010021262401332,0.010021262401332,0,0,0,0.010021262401332
0,0,0,0,0,0,0.956150777450411,0,0,0.956150777450411,0,0,0.955966140291436,0,0,0,0,0,0,0,0.420336319507848,0,0,0,0.935009756931763,0,0,0,0.956150777450411,0,0.95038032267545,0.956150777450411,0.956150777450411,0,0,0,0.956150777450411,0.956150777450411,0.397940596058599,0,0,0.955966140291436
0,0,0,0,0,0,0.000388959958473216,0,0,0.000388959958473216,0,0,0.000388959958473216,0,0,0,0,0,0,0,0,0,0,0,0.000388959958473216,0,0,0,0.000388959958473216,0,0.000388959958473216,0.000388959958473216,0.000388959958473216,0,0,0,0.000388959958473216,0.000388959958473216,0,0,0,0.000388959958473216
0,0,0,0,0,0,1.59358462908402,0,0,1.59358462908402,0,0,1.59327690048573,0,0,0,0,0,0,0,0.70056053251308,0,0,0,1.55834959488627,0,0,0,1.59358462908402,0,1.58396720445908,1.59358462908402,1.59358462908402,0,0,0,1.59358462908402,1.59358462908402,0.663234326764331,0,0,1.59327690048573
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02665817744328,0,0,0.02665817744328,0,0,0.02665817744328,0,0,0,0,0,0,0,0,0,0,0,0.02665817744328,0,0,0,0.02665817744328,0,0.02665817744328,0.02665817744328,0.02665817744328,0,0,0,0.02665817744328,0.02665817744328,0,0,0,0.02665817744328
0,0,0,0,0,0,0.08932888680408,0,0,0.08932888680408,0,0,0.08932888680408,0,0,0,0,0,0,0,0,0,0,0,0.08932888680408,0,0,0,0.08932888680408,0,0.08932888680408,0.08932888680408,0.08932888680408,0,0,0,0.08932888680408,0.08932888680408,0.08932888680408,0,0,0.08932888680408
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.022278262464,0,0,0,0,0,0.022278262464,0,0,0,0,0,0,0,0,0,0,0.022278262464,0,0,0,0,0,0,0,0,0,0.022278262464,0,0,0,0,0,0.022278262464,0.022278262464,0,0,0,0
0,0,0,0,0,0,0.00639849077583735,0,0,0.00639849077583735,0,0,0.00639849077583735,0,0,0,0,0,0,0,0,0,0,0,0.00639849077583735,0,0,0,0.00639849077583735,0,0,0.00639849077583735,0.00639849077583735,0,0,0,0.00639849077583735,0.00639849077583735,0,0,0,0.00639849077583735
0,0,0,0,0,0,0.0013591541358171,0,0,0.0013591541358171,0,0,0.0013591541358171,0,0,0,0,0,0,0,0,0,0,0,0.0013591541358171,0,0,0,0.0013591541358171,0,0,0.0013591541358171,0.0013591541358171,0,0,0,0.0013591541358171,0.0013591541358171,0,0,0,0.0013591541358171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.044089767408,0,0,0,0,0,0,0,0,0,0,0.044089767408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000307728598292,0,0,0.000307728598292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307728598292,0,0,0,0.000307728598292,0,0,0.000307728598292,0.000307728598292,0,0,0,0.000307728598292,0.000307728598292,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0433428156,0,0,0,0,0,0.0433428156,0,0,0,0,0,0,0,0,0,0,0.0433428156,0,0,0,0,0,0,0,0,0,0.0433428156,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0001853278283472,0,0,0.0001853278283472,0,0,0.0001853278283472,0,0,0,0,0,0,0,0,0,0,0,0.0001853278283472,0,0,0,0.0001853278283472,0,0,0.0001853278283472,0.0001853278283472,0,0,0,0.0001853278283472,0.0001853278283472,0,0,0,0.0001853278283472
0,0,0,0,0,0,0.030632678456,0,0,0.030632678456,0,0,0.030632678456,0,0,0,0,0,0,0,0,0,0,0,0.030632678456,0,0,0,0.030632678456,0,0.030632678456,0.030632678456,0.030632678456,0,0,0,0.030632678456,0.030632678456,0,0,0,0.030632678456
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.07096205568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07096205568,0,0,0,0,0,0,0,0,0,0.07096205568,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.016482940992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016482940992,0,0,0,0,0,0,0,0,0,0.016482940992,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464537545584,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.6912488400048,0,0,0.6912488400048,0,0,0.6912488400048,0,0,0,0,0,0,0,0.6912488400048,0,0,0,0.6912488400048,0,0,0,0.6912488400048,0,0.6912488400048,0.6912488400048,0.6912488400048,0,0,0,0.6912488400048,0.6912488400048,0,0,0,0.6912488400048
0,0,0,0,0,0,0.956150777450411,0,0,0.956150777450411,0,0,0.955966140291436,0,0,0,0,0,0,0,0.420336319507848,0,0,1,0.935009756931763,0,0,1,0.956150777450411,0,0.95038032267545,0.956150777450411,0.956150777450411,0,0,0,0.956150777450411,0.956150777450411,0.397940596058599,0,0,0.955966140291436
0,0,0,0.121203456192,0,0,0,0,0,0.121203456192,0,0,0,0,0,0,0,0,0,0,0.121203456192,0,0,0,0,0,0,0,0,0,0.121203456192,0,0,0,0,0,0.121203456192,0.121203456192,0,0,0,0
