"Achnanthes","Amphinemura sulcicollis","Baetis rhodani","Chironomidae","Corixidae","CPOM","Electrogena lateralis","Elmis aenea","Esolus parallelepipedus","Eunotia bilunaris","Eunotia curvata","Eunotia exigua","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Frustulia rhomboides","Gomphonema parvulum","Hydracarina","Isoperla grammatica","Leuctra hippopus","Leuctra inermis","Limnius volckmari","Meridion circulare","Oligochaeta","Oreodytes sanmarkii","Oulimnius","Phoxinus phoxinus","Pinnularia subcapitata","Plectrocnemia conspersa","Plectrocnemia geniculata","Rhyacophila dorsalis","Salmo trutta","Simuliidae","Siphonoperla torrentium","Surirella linearis","Surirella minuta","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0.01301613762594,0,0.01301613762594,0,0,0.01301613762594,0.01301613762594,0,0,0,0,0,0,0,0,0,0,0,0.01301613762594,0.01301613762594,0.01301613762594,0,0.01301613762594,0,0.01301613762594,0.01301613762594,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01831609093074,0,0.01831609093074,0,0,0.01831609093074,0.01831609093074,0,0,0,0,0,0,0,0,0,0,0,0.01831609093074,0.01831609093074,0.01831609093074,0,0.01831609093074,0,0.01831609093074,0.01831609093074,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0004605298133114,0,0.0004605298133114,0,0,0.0004605298133114,0.0004605298133114,0,0,0,0,0,0,0,0,0,0,0,0.0004605298133114,0.0004605298133114,0.0004605298133114,0,0.0004605298133114,0,0.0004605298133114,0.0004605298133114,0,0,0,0,0,0,0,0,0,0,0,0
0,0.178007952962296,0.00448464526929,0.0753529377025147,0,0,0.178007952962296,0.178007952962296,0,0,0,0,0,0,0,0,0,0,0,0.178007952962296,0.178007952962296,0.178007952962296,0,0.0750751504222957,1,0.178007952962296,0.178007952962296,0,0,0,1,0,0.043570850417874,0,0,0,0,0,0.041690661618093
0,0.000540868266842,0,0,0,0,0.000540868266842,0.000540868266842,0,0,0,0,0,0,0,0,0,0,0,0.000540868266842,0.000540868266842,0.000540868266842,0,0.000540868266842,0,0.000540868266842,0.000540868266842,0,0,0,0,0,0.000540868266842,0,0,0,0,0,0
0,0.00896929053858,0.00896929053858,0.00896929053858,0,0,0.00896929053858,0.00896929053858,0,0,0,0,0,0,0,0,0,0,0,0.00896929053858,0.00896929053858,0.00896929053858,0,0.00896929053858,0,0.00896929053858,0.00896929053858,0,0,0,0,0,0.00896929053858,0,0,0,0,0,0.00896929053858
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114277265,0,0,0,0,0,0,0,0,0.000114277265,0,0,0,0,0.000114277265,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021521410316,0,0,0,0,0,0,0,0.021521410316,0,0,0,0.021521410316,0.021521410316,0,0.021521410316,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076943874,0,0,0,0,0,0,0,0.00076943874,0,0.00076943874,0.00076943874,0.00076943874,0.00076943874,0,0.00076943874,0,0,0,0.00076943874,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003053395257,0,0,0,0,0,0,0,0.003053395257,0,0.003053395257,0.003053395257,0.003053395257,0.003053395257,0,0.003053395257,0,0,0,0.003053395257,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377659147,0,0,0,0,0.000377659147,0,0,0,0,0,0,0
0,0.00431595216,0,0.00431595216,0,0,0.00431595216,0.00431595216,0,0,0,0,0,0,0,0,0,0,0,0.00431595216,0.00431595216,0.00431595216,0,0,0,0.00431595216,0.00431595216,0,0,0,0,0,0.00431595216,0,0,0,0,0,0.00431595216
0,0,0,0,0.002896747608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002896747608,0,0.002896747608,0,0.002896747608,0.002896747608,0.002896747608,0.002896747608,0,0.002896747608,0,0,0,0.002896747608,0
0,0,0,0,0.001111911401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001111911401,0,0,0,0.001111911401,0.001111911401,0,0.001111911401,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509187008,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025891812793,0,0,0,0,0,0,0
0,0.00321950933272,0,0,0,0,0.00321950933272,0.00321950933272,0,0,0,0,0,0,0,0,0,0,0,0.00321950933272,0.00321950933272,0.00321950933272,0,0.00321950933272,0,0.00321950933272,0.00321950933272,0,0,0,0,0,0.00321950933272,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013094369,0.001013094369,0,0,0,0,0,0,0,0.001013094369,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331587766,0.00331587766,0,0,0,0,0,0,0,0.00331587766,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002289764829,0,0,0,0,0,0,0,0.002289764829,0,0.002289764829,0.002289764829,0.002289764829,0.002289764829,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18572612135396,0,0,0,0,0.18572612135396,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187489008,0.000187489008,0,0,0,0,0,0,0,0.000187489008,0,0.000187489008,0.000187489008,0.000187489008,0.000187489008,0,0.000187489008,0,0,0,0.000187489008,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022457628402,0,0,0,0,0,0,0,0,0,0.022457628402,0.022457628402,0.022457628402,0,0,0.022457628402,0,0,0,0.022457628402,0
0,0.0118965348,0,0.0118965348,0,0,0.0118965348,0.0118965348,0,0,0,0,0,0,0,0,0,0,0,0.0118965348,0.0118965348,0.0118965348,0,0.0118965348,0,0.0118965348,0.0118965348,0,0,0,0,0,0.0118965348,0,0,0,0,0,0.0118965348
0,0.000412937066706,0,0.000412937066706,0,0,0.000412937066706,0.000412937066706,0,0,0,0,0,0,0,0,0,0,0,0.000412937066706,0.000412937066706,0.000412937066706,0,0.000412937066706,0,0.000412937066706,0.000412937066706,0,0,0,0,0,0.000412937066706,0,0,0,0,0,0.000412937066706
0,0.20154965292,0,0,0,0,0.20154965292,0.20154965292,0,0,0,0,0,0,0,0,0,0,0,0.20154965292,0.20154965292,0.20154965292,0,0,0,0.20154965292,0.20154965292,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00056990874,0,0,0,0,0,0,0,0,0,0,0,0,0.00056990874,0.00056990874,0,0,0,0,0,0.00056990874,0,0.00056990874,0,0.00056990874,0.00056990874,0.00056990874,0.00056990874,0,0.00056990874,0,0,0,0.00056990874,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003255037618,0,0.003255037618,0.003255037618,0,0.003255037618,0,0,0,0,0,0.003255037618,0
