"Achnanthes austriaca minor","Achnanthes helvetica","Achnanthes minutissima","Amphinemura sulcicollis","Baetis rhodani","Chironomidae","CPOM","Elmis aenea","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","Eunotia vanheurckii intermedia","FPOM","Fragilaria vaucheriae","Fragilariforma virescens","Frustulia rhomboides","Hydracarina","Isoperla grammatica","Leuctra inermis","Oligochaeta","Oreodytes sanmarkii","Oreodytes septentrionalis","Pinnularia subcapitata","Plectrocnemia conspersa","Plectrocnemia geniculata","Potamophylax latipennis","Rhyacophila dorsalis","Rhyacophila fasciata","Salmo trutta","Simuliidae","Siphonoperla torrentium","Surirella linearis","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0.002145664666764,0.002145664666764,0.002145664666764,0,0.002145664666764,0,0,0,0,0,0,0,0,0,0,0.002145664666764,0,0,0,0,0,0,0.002145664666764,0,0,0,0.002145664666764,0,0,0,0,0.002145664666764
0,0,0,0.0010275634375,0,0.0010275634375,0,0.0010275634375,0,0,0,0,0,0,0,0,0,0,0.0010275634375,0,0,0,0,0,0,0.0010275634375,0,0,0,0.0010275634375,0,0,0,0,0.0010275634375
0,0,0,0.0001295220833105,0,0,0,0.0001295220833105,0,0,0,0,0,0,0,0,0,0,0.0001295220833105,0.0001295220833105,0,0,0,0,0,0.0001295220833105,0,0,0,0.0001295220833105,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000634567752,0,0,0,0,0,0,0,0,0,0,0,0.000634567752,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035505098808,0,0,0,0,0,0,0,0,0.035505098808,0.035505098808,0.035505098808,0,0.035505098808,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012495885347,0,0,0,0,0,0.012495885347,0.012495885347,0,0.012495885347,0.012495885347,0.012495885347,0,0.012495885347,0,0,0.012495885347,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000801897212,0.000801897212,0,0.000801897212,0.000801897212,0,0.000801897212,0.000801897212,0.000801897212,0,0.000801897212,0,0,0.000801897212,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002159513598,0.002159513598,0,0.002159513598,0.002159513598,0,0,0,0.002159513598,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025427625,0.001025427625,0,0.001025427625,0.001025427625,0,0,0,0.001025427625,0,0,0,0,0,0
0,0,0,0.005181436041947,0,0,0,0.005181436041947,0,0,0,0,0,0,0,0,0,0,0.005181436041947,0.005181436041947,0,0,0,0,0,0.005181436041947,0,0,0,0.005181436041947,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0109002e-05,2.0109002e-05,0,0,0,0,0,0,0,0,2.0109002e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001735719935,0.001735719935,0,0,0,0,0,0,0,0,0.001735719935,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01523584492,0.01523584492,0,0,0,0.01523584492,0,0,0,0,0.01523584492,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011011933583,0,0,0,0,0,0.011011933583,0.011011933583,0,0.011011933583,0.011011933583,0.011011933583,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033761358252,0,0,0,0,0,0.033761358252,0.033761358252,0,0.033761358252,0.033761358252,0.033761358252,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235706329798909,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018398454332,0.018398454332,0,0,0,0,0,0.018398454332,0.018398454332,0,0.018398454332,0.018398454332,0.018398454332,0,0.018398454332,0,0,0.018398454332,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01541376025,0,0,0,0,0,0.01541376025,0.01541376025,0,0.01541376025,0.01541376025,0,0,0.01541376025,0,0,0.01541376025,0
0,0,0,0.000236172375,0,0.000236172375,0,0.000236172375,0,0,0,0,0,0,0,0,0,0,0.000236172375,0.000236172375,0,0,0,0,0,0.000236172375,0,0,0,0.000236172375,0,0,0,0,0.000236172375
0,0,0,0.08075395834,0,0,0,0.08075395834,0,0,0,0,0,0,0,0,0,0,0.08075395834,0,0,0,0,0,0,0.08075395834,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000282234112,0.000282234112,0,0,0.000282234112,0.000282234112,0,0.000282234112,0.000282234112,0.000282234112,0.000282234112,0.000282234112,0.000282234112,0,0.000282234112,0,0,0.000282234112,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016360321754,0.016360321754,0,0,0,0.016360321754,0,0,0,0,0.016360321754,0
