FW_name,uniqueID,ecosystem.type,location,lat,lon,soilType,soilHumidity,labileCarbon,labileNitrogen,pH,microbialCarbon,microbialNitrogen,ammonium,whc,phosphorus,airHumidity,temperature,t_min_July,t_min_Jan,t_mean_Jan,t_mean_July,t_max_Jan,t_max_July,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,vol_fall_tree,vol_stand_tree,vol_twig,cover_berry,C_soil,N_soil,mass_C/N,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As ,Rb,Sr,Y,Ba,Pb,Microb_NF_act,Microb_NF_pot,Microb_DN_act,Microb_DN_pot,Microb_CH4_act,Microb_CO2_act,Microb_CO2_pot,sampling.start.year,sampling.end.year
foodweb11,Y2_CL_21c,Soils,Nelidovo,56.155257,32.817537,Albeluvisols_umbric,96.06666667,462.4201554,75.64297785,5.003333333,599.264936,136.9371252,0.178836372,193.00567,135.3301409,20.6,22,11.8,-12.4,-9,17,-5.6,22.3,4.3,8.4,24,9347,22.3,-12.4,34.7,16.1,-7.2,16.1,-7.7,641,90,27,34,238,93,238,109,1.5586263,0,0.02862783,7,12.75200498,0.752374954,15.86625827,27333.4,0.00406,0,37.22,6811.1,2429.3,1.548,0.23,1.23,7841.2,0,0.0713,7.01,277.8,0,0,77.8,0,82.4,0.175,1.1368,12.3408,0.4744,29.1212,3.3276,1.541333333,4.506,2013,2013
foodweb12,Y2_CL_23c,Soils,Nelidovo,56.140112,32.718251,Albeluvisols_histic,467.8366667,757.258279,163.3361323,5.386666667,1067.305362,146.1354224,0.311248762,368.7565951,367.3649892,34,26.1,11.8,-12.4,-8.9,17,-5.5,22.3,4.4,8.4,24,9336,22.3,-12.3,34.6,16.1,-7.1,16.1,-7.7,639,90,27,34,237,93,237,109,0,0,0.01908522,9,37.2378029,1.687276895,22.16369617,12490,4.569,0.669,12.02,5392,5913.8,2.039,0.283,3.69,11456.2,0.106,0.111,5.28,66.6,0.016,0,39.8,0,42.52,0.183,1.3388,14.4896,1.4144,40.416,4.864,3.067333333,6.232,2013,2013
foodweb13,Y2_PZ_25c,Soils,Petrozavodsk,61.99292,34.17444,Leptosols_lithic,68.06482978,371.3942936,35.07574971,5.713333333,155.6082157,24.36085053,0.039863407,45.05810598,105.4746043,46,19.3,11.4,-14.8,-11.3,16.1,-7.7,20.8,2.5,7.5,21,9385,20.8,-14.8,35.6,13.1,-8.8,14.7,-9.7,566,86,21,39,218,79,205,87,1.431146063,1.037758838,0.20204415,240,11.13608453,0.449973946,24.99137055,22192.1,5.26,0,15.15,4392.3,11382.2,47.53,1.28,13.88,54785.9,0,0,10.34,340.8,0,0,442.6,0,86.43,3.22,1.4656,17.9032,0.45,24.104,3.4312,2.842,6.220666667,2013,2013
foodweb14,Y2_PZ_27c,Soils,Petrozavodsk,61.85056,34.41325,Leptosols_lithic,301.2799835,1933.483806,199.6224573,5.656666667,415.6547306,60.83220847,0.074050908,326.6710943,3293.988068,100,13.7,11.2,-15,-11.4,15.9,-7.8,20.7,2.4,7.6,21,9400,20.7,-14.9,35.5,13.1,-8.9,14.6,-9.8,577,86,21,39,219,80,206,89,0.141372,0,0.049892535,700,16.87156756,0.723256725,25.37569397,3806.9,464.5,0.7,7.65,1220.2,3359.6,7.681,1.62,23.79,6811.3,3.94,2.87,35.3,76.3,0.0611,0,18.5,0,95,1.62,4.63,38.7552,0.472,15.424,5.8496,2.885333333,5.589333333,2013,2013
foodweb15,Y2_PZ_29c,Soils,Pasha,60.33975,33.13269,Podzol_Albic,221.0980057,1579.819973,138.502554,5.126666667,575.5584885,50.92981013,0.051527923,376.0339945,115.3222693,50,14.6,11.6,-13.8,-10.3,16.7,-6.7,21.8,3.4,8.1,22,9349,21.8,-13.8,35.6,13.8,-3.6,15.4,-8.8,693,87,31,32,240,105,221,136,0.4276503,0.094248,0,7,12.70936948,0.32204252,39.20941225,5962.3,66.33,0,1.05,2524.8,3728.2,4.39,3.55,16.89,4715.2,0.672,6.35,37.6,170.5,0,0,45,0,93.3,2.39,1.6776,15.8656,0.2356,5.6028,3.0052,1.674666667,3.85,2013,2013
foodweb16,Y2_PZ_31c,Soils,Pasha,60.32878,33.14875,Podzol_Albic,173.1102261,2095.645133,156.6816666,5.02,107.7867921,32.90456165,0.122005287,222.9392063,70.87074176,41,20.2,11.6,-13.8,-10.2,16.7,-6.6,21.8,3.4,8.1,22,9343,21.8,-13.7,35.5,13.8,-3.6,15.4,-8.7,693,87,31,32,240,105,221,136,0.980031938,0,0.011133045,2,20.32408731,0.575760355,35.04947945,6752,0.594,0,5.74,1419.3,1512.7,206.7,20,256.1,3560.9,0.249,0.776,30.9,209.1,0.164,0,57.6,0,65.2,1.92,1.718,14.1244,0.2376,3.5556,6.5484,1.806666667,4.192,2013,2013
foodweb17,Y2_WS_33c,Soils,Umba,66.82928,34.0389,Podzol_Albic,244.3643156,2061.335722,109.5962202,4.95,1370.513678,104.5939304,0.149205438,342.305695,27.76887728,48,10.6,9.2,-15.8,-12.2,13.5,-8.3,17.8,0,7.3,21,8844,17.8,-16,33.8,10.7,-7.1,11.7,-11.2,504,65,23,32,180,76,175,86,0.14545608,0.27339774,0,284,15.46912807,0.329501776,47.02611159,13877.1,0.186,0,11.69,2652.5,10692.7,21.09,1.07,108.39,41861.5,0.443,0.223,72,178.9,0,0,96.99,0,45.16,3.54,1.3452,17.908,0.1432,3.324,3.8452,2.034,4.419333333,2013,2013
foodweb18,Y2_WS_35c,Soils,Umba,66.79567,34.18753,Podzol_Albic,578.1657727,3057.531096,162.9573778,4.9,2064.254521,207.1944426,0.295570985,196.7097684,37.00646171,26,16.1,9.3,-15.6,-11.8,13.6,-7.9,17.9,0.2,7.2,21,8761,17.9,-15.6,33.5,10.9,-6.9,11.8,-10.8,488,64,22,34,176,72,170,81,3.0253608,0,0.047124,303,24.8089756,0.482911071,45.7862764,3952,1.6,0.205,10.93,713.6,1349.5,12.08,0,68.2,1415.1,0,0.266,20.7,44.9,0,0,21,0,31.8,1.13,1.2396,13.402,0.0184,3.2128,0.6448,0.832666667,2.235333333,2013,2013
foodweb19,Y2_WS_37c,Soils,Umba,66.78124,34.19601,Podzol_Albic,144.1546411,1098.156719,38.82116322,5.136666667,688.86111,70.04462339,0.073137429,187.6453195,2.58778894,69,14.9,9.3,-15.6,-11.8,13.6,-7.9,17.9,0.2,7.2,21,8763,17.9,-15.6,33.5,11,-6.8,11.9,-10.8,487,64,22,34,176,72,170,81,3.683526,0,0,154,24.00400121,0.398172573,58.50658901,7109,0.391,0.604,178,2327.7,2854.5,5.84,1.99,19.56,8146.2,0,0.24,25.7,40.1,0,0,53.2,0,117.6,2.15,1.1128,14.5068,0.0172,1.2896,2.49,0.578,1.912666667,2013,2013
foodweb20,Y2_WS_39c,Soils,Kandalaksha,67.07881,33.17981,Leptosols_lithic,254.7803775,2050.118666,73.90314027,5.013333333,297.0399334,31.07063398,0.000689186,277.1705608,5.98240486,100,11.5,9.1,-17.5,-12.9,13.7,-8.9,18.3,-0.4,7.7,21,9224,18.3,-16.9,35.2,10.6,-7.7,11.9,-12.1,554,68,27,29,192,89,185,101,2.611455,0,0,60,6.557171325,0.14256765,46.45892221,7082.8,1.075,1.056,9.77,1322.8,2402.3,25.91,13.2,78.6,3125.8,1.83,21.5,33.8,66.1,0,0.119,37.5,0.0271,56.8,1.67,1.2832,19.8368,0.0984,1.5684,12.668,1.589333333,3.67,2013,2013
