"","benthic detritus","Ilyocryptus spinifer","fish fry","Chrosomus eos","Acantholeberis curvirostris","Chydorus bicornutus","Chydorus sphaericus","Catostomus commersoni","fish eggs","Semotilus atromaculatus","Micrasterias sp.","Daphnia catawba","Diaptomus minutus","Oocyctis sp.","Daphnia pulex","Cryptomonas erosa","Keratella taurocephala","Cryptomonas ovata","Holopedium gibberum","Lyngbya sp.","Tabellaria fenestrata","Euastrum sp.","Melosira sp.","Conochiloides unicornis","Sphaerocystis schroeteri","Navicula sp.","Tetraedron minimum","Schroederia setigera","Nitzschia sp.","Mallomonas akrokomos","Polyarthra major","Monostyla lunaris","Bosmina longirostris","Euchlanis sp.","Scenedesmus quadricauda","Cyclotella glomerata","Closterium sp.","Ankistrodesmus sp.","Ankistrodesmus spiralis","Merismopedia punctata","Merismopedia tenuissima","Beauchampiella eudactylota","Chroococcus limneticus","Diaphanosoma birgei","copepod nauplii","Tropocyclops prasinus","Mesocyclops edax","Cyclops vernalis","Peridinium inconspicuum","Ceratium carolinianum"
"Ankistrodesmus spiralis",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merismopedia punctata",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merismopedia tenuissima",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beauchampiella eudactylota",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Chroococcus limneticus",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphanosoma birgei",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"copepod nauplii",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Tropocyclops prasinus",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Mesocyclops edax",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Cyclops vernalis",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Peridinium inconspicuum",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Ceratium carolinianum",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
